epoch,totalError,accuracy
1,0.6383814123943001,0.36082474226804123
2,0.6383790559738348,0.36082474226804123
3,0.6383766852592934,0.36082474226804123
4,0.6383743001193918,0.36082474226804123
5,0.6383719004212315,0.36082474226804123
6,0.6383694860302652,0.36082474226804123
7,0.6383670568102833,0.36082474226804123
8,0.6383646126233805,0.36082474226804123
9,0.6383621533299294,0.36082474226804123
10,0.6383596787885552,0.36082474226804123
11,0.6383571888561086,0.36082474226804123
12,0.63835468338764,0.36082474226804123
13,0.6383521622363607,0.36082474226804123
14,0.6383496252536288,0.36082474226804123
15,0.6383470722889109,0.36082474226804123
16,0.6383445031897486,0.36082474226804123
17,0.6383419178017359,0.36082474226804123
18,0.638339315968482,0.36082474226804123
19,0.6383366975315844,0.36082474226804123
20,0.6383340623305908,0.36082474226804123
21,0.6383314102029696,0.36082474226804123
22,0.6383287409840722,0.36082474226804123
23,0.6383260545071051,0.36082474226804123
24,0.6383233506030882,0.36082474226804123
25,0.6383206291008222,0.36082474226804123
26,0.6383178898268466,0.36082474226804123
27,0.6383151326054155,0.36082474226804123
28,0.638312357258442,0.36082474226804123
29,0.6383095636054739,0.36082474226804123
30,0.6383067514636449,0.36082474226804123
31,0.6383039206476386,0.36082474226804123
32,0.6383010709696466,0.36082474226804123
33,0.6382982022393224,0.36082474226804123
34,0.6382953142637454,0.36082474226804123
35,0.6382924068473724,0.36082474226804123
36,0.6382894797919937,0.36082474226804123
37,0.6382865328966872,0.36082474226804123
38,0.6382835659577728,0.36082474226804123
39,0.6382805787687635,0.36082474226804123
40,0.6382775711203162,0.36082474226804123
41,0.638274542800187,0.36082474226804123
42,0.6382714935931735,0.36082474226804123
43,0.6382684232810679,0.36082474226804123
44,0.6382653316426025,0.36082474226804123
45,0.6382622184533958,0.36082474226804123
46,0.6382590834858975,0.36082474226804123
47,0.6382559265093337,0.36082474226804123
48,0.6382527472896491,0.36082474226804123
49,0.6382495455894445,0.36082474226804123
50,0.6382463211679199,0.36082474226804123
51,0.6382430737808165,0.36082474226804123
52,0.6382398031803495,0.36082474226804123
53,0.6382365091151442,0.36082474226804123
54,0.6382331913301742,0.36082474226804123
55,0.6382298495666894,0.36082474226804123
56,0.6382264835621547,0.36082474226804123
57,0.638223093050173,0.36082474226804123
58,0.6382196777604201,0.36082474226804123
59,0.6382162374185673,0.36082474226804123
60,0.6382127717462092,0.36082474226804123
61,0.6382092804607875,0.36082474226804123
62,0.6382057632755127,0.36082474226804123
63,0.638202219899284,0.36082474226804123
64,0.6381986500366087,0.36082474226804123
65,0.6381950533875164,0.36082474226804123
66,0.6381914296474798,0.36082474226804123
67,0.6381877785073196,0.36082474226804123
68,0.6381840996531216,0.36082474226804123
69,0.6381803927661438,0.36082474226804123
70,0.6381766575227201,0.36082474226804123
