epoch,totalError,accuracy
1,0.63648862122835,0.36082474226804123
2,0.3820502441135001,0.38556701030927837
3,0.07386814169421231,0.9154639175257732
4,0.07863694642501387,0.9030927835051547
5,0.07102861951904359,0.9195876288659793
6,0.0673922154747564,0.9237113402061856
7,0.062229828566592246,0.9257731958762887
8,0.050837921695629396,0.9381443298969072
9,0.06851516914522349,0.9195876288659793
10,0.042265549070673564,0.954639175257732
11,0.03650726988698465,0.9628865979381444
12,0.03281863072969846,0.9628865979381444
13,0.030158055371733827,0.9649484536082474
14,0.028145480584183338,0.9649484536082474
15,0.0269527310721068,0.9670103092783505
16,0.026099885395309906,0.9690721649484536
17,0.025734135409954277,0.9690721649484536
18,0.02582724821198065,0.9690721649484536
19,0.02560004142058431,0.9670103092783505
20,0.025150048515060724,0.9670103092783505
21,0.0246182254757437,0.9670103092783505
22,0.024057625923557188,0.9711340206185567
